X,Y,Name,Location,Ownership,Type,Spaces,Pay_Display,X_Co,Y_Co,Latitude,Longitude,ObjectId
-709048.383412848,7409270.00741271,Harbour Car Park,Ballintoy,Council,Free,46,,303755.658,445301.3947,55.243507,-6.36949,1
-704507.5500639,7407429.44770188,Portaneevy Car Park,Ballintoy,Council,Free,49,,306381.9233,444253.6112,55.23408,-6.328699,2
-695799.137618633,7400722.03878442,Fairhill Street Car Park,Ballycastle,Council,Free,58,,311448.9311,440575.7168,55.199707,-6.25047,3
-696185.416251685,7400954.93404789,Castle Street Car Park,Ballycastle,Council,Free,64,,311240.7069,440705.4064,55.200901,-6.25394,4
-695564.36481255,7401063.77694228,Ann Street Car Park,Ballycastle,Council,Chargeable,97,30p/hr,311569.1322,440771.3176,55.201459,-6.248361,5
-694640.635677947,7402007.14592382,Harbour Car Park,Ballycastle,Council,Free,61,,312049.7126,441463.2288,55.206295,-6.240063,6
-694710.878276638,7402235.98283932,Seafront Car Park,Ballycastle,Council,Free,65,,312086.617,441323.9966,55.207468,-6.240694,7
-694509.835276265,7401358.1285384,Sheskburn House,Ballycastle,Council,Free,54,,312177.9099,440958.2152,55.202968,-6.238888,8
-695701.321182073,7400486.22481608,Fair Green Car Park,Ballycastle,Council,Free,58,,311491.2288,440436.7143,55.198498,-6.2495913,9
-781078.09407665,7370448.57870651,Glenhead Road Car Park,Ballykelly,Council,Free,38,,262908.0265,422288.1439,55.044197,-7.0165439,10
-725498.509845333,7374689.02838684,Gate End Car Park,Ballymoney,Council,Free,27,,294761.6325,425283.6291,55.066016,-6.517264,11
-725477.581781064,7375115.94167511,Castle Street Car Park,Ballymoney,Council,Free,117,,294789.0074,425550.995,55.068212,-6.517076,12
-725225.88841238,7375058.00762374,Seymour Street Car Park,Ballymoney,Council,Free,65,,294933.8608,425511.631,55.067914,-6.514815,13
-725314.27608807,7375496.41192038,Church Street Car Park,Ballymoney,Council,Chargeable,96,50p/hr,294877.2981,425757.262,55.070169,-6.515609,14
-725718.254520159,7375760.04963655,Townhead Street Car Park (North),Ballymoney,Council,Chargeable,156,30p per hour,294645.2897,425901.6933,55.071525,-6.519238,15
